FIRSTNAME,SEX
ABAGAIL,F
ABAGIL,F
ABBEY,F
ABBIE,F
ABBIGALE,F
ABBY,F
ABBYGAIL,F
ABERTINE,F
ABIGAIL,F
ABIGAL,F
ABIGALE,F
ABIGALL,F
ABIGEL,F
ABIGIL,F
ABISHAG,F
ADA,F
ADABEL,F
ADAH,F
ADALAID,F
ADALAIDE,F
ADALHEID,F
ADALINE,F
ADAMINA,F
ADDIE,F
ADEANA,F
ADELA,F
ADELAIDE,F
ADELE,F
ADELIA,F
ADELINA,F
ADELINE,F
ADELIZA,F
ADELL,F
ADELLA,F
ADELLE,F
ADINA,F
ADLENE,F
ADRIA,F
ADRIANA,F
ADRIANE,F
ADRIANNE,F
ADRIENNE,F
AFRA,F
AGATHA,F
AGGIE,F
AGNES,F
AGNETA,F
AGUSTA,F
AIDA,F
AILEEN,F
AILIE,F
AILSA,F
AIME,F
AIMEE,F
AINA,F
AINE,F
AISHA,F
AISLING,F
AITHNE,F
ALAINE,F
ALANA,F
ALANE,F
ALANNA,F
ALATHEA,F
ALAYNA,F
ALAYNE,F
ALBERTA,F
ALBERTENE,F
ALBERTINA,F
ALBERTINE,F
ALBINA,F
ALBREDA,F
ALCIE,F
ALDA,F
ALDEA,F
ALDORA,F
ALEEN,F
ALEENE,F
ALEINE,F
ALENA,F
ALENDA,F
ALENE,F
ALETHA,F
ALETHEA,F
ALETTE,F
ALEXA,F
ALEXANDRA,F
ALEXANDRIA,F
ALEXANDRINA,F
ALEXENA,F
ALEXIA,F
ALEXIE,F
ALEXINA,F
ALEXINE,F
ALEXIS,F
ALEY,F
ALEZI,F
ALFREDA,F
ALI,F
ALICE,F
ALICIA,F
ALIDA,F
ALIENE,F
ALINA,F
ALINE,F
ALISA,F
ALISHA,F
ALISON,F
ALISSA,F
ALITHEA,F
ALIX,F
ALJIA,F
ALLA,F
ALLEAN,F
ALLEEN,F
ALLEGRA,F
ALLENE,F
ALLES,F
ALLICE,F
ALLIE,F
ALLIENE,F
ALLIN,F
ALLINE,F
ALLIS,F
ALLISON,F
ALLYSON,F
ALMA,F
ALMEDA,F
ALMENA,F
ALMETA,F
ALMIRA,F
ALODIE,F
ALOIA,F
ALOISA,F
ALTA,F
ALTHA,F
ALTHEA,F
ALTHEDA,F
ALTIE,F
ALVA,F
ALVENA,F
ALVINA,F
ALWYNE,F
ALYCE,F
ALYCIA,F
ALYNE,F
ALYS,F
ALYSIA,F
ALYSON,F
ALYSSA,F
AMA,F
AMABEL,F
AMABELLE,F
AMALEA,F
AMALIA,F
AMALTHEA,F
AMANA,F
AMANDA,F
AMARA,F
AMARIS,F
AMARYLLIS,F
AMATA,F
AMBER,F
AMBERLY,F
AMBROSINE,F
AMELIA,F
AMELIE,F
AMEY,F
AMIA,F
AMICA,F
AMIE,F
AMINA,F
AMINTA,F
AMPLIAS,F
AMY,F
ANA,F
ANABEL,F
ANABELLA,F
ANASTASIA,F
ANCE,F
ANDRA,F
ANDREA,F
ANDREAN,F
ANDREANA,F
ANDREE,F
ANDREENA,F
ANDRETTE,F
ANDREWINA,F
ANETTA,F
ANETTE,F
ANGELA,F
ANGELE,F
ANGELEN,F
ANGELENE,F
ANGELIA,F
ANGELICA,F
ANGELINA,F
ANGELINE,F
ANGELIQUE,F
ANGELITA,F
ANGELYNN,F
ANGHARAD,F
ANGIE,F
ANGUSINA,F
ANICE,F
ANIELA,F
ANIKA,F
ANIS,F
ANISE,F
ANITA,F
ANJA,F
ANN,F
ANNA,F
ANNABEL,F
ANNABELLA,F
ANNABELLE,F
ANNALIE,F
ANNALISA,F
ANNAMARIE,F
ANNE,F
ANNELIESE,F
ANNEMARIE,F
ANNESS,F
ANNET,F
ANNETT,F
ANNETTA,F
ANNETTE,F
ANNICE,F
ANNIE,F
ANNIKA,F
ANNIS,F
ANNITA,F
ANNMARIE,F
ANNORA,F
ANNTHEA,F
ANNTOINETTE,F
ANNY,F
ANONA,F
ANORA,F
ANOUSKA,F
ANSTICE,F
ANTHA,F
ANTHEA,F
ANTIONETT,F
ANTOINETT,F
ANTOINETTE,F
ANTONETTA,F
ANTONETTE,F
ANTONIA,F
ANTONINA,F
ANWEN,F
ANYA,F
APHRA,F
APRIL,F
ARABELL,F
ARABELLA,F
ARAMINTA,F
ARDELLA,F
ARDIS,F
ARDITH,F
ARETA,F
ARIANA,F
ARIANE,F
ARIEL,F
ARIELLA,F
ARLANA,F
ARLEEN,F
ARLENE,F
ARLETTA,F
ARLETTE,F
ARLINE,F
ARLIS,F
ARLYNE,F
ARMILLA,F
ARMINA,F
ARMINTA,F
ARNETTA,F
ARTELIA,F
ARTENA,F
ARTHENE,F
ARTHURETTA,F
ARTHURINA,F
ARTINA,F
ARVA,F
ARVIE,F
ASHANTI,F
ASHLIE,F
ASHLING,F
ASIA,F
ASPASIA,F
ASTA,F
ASTOR,F
ASTRA,F
ASTRED,F
ASTRID,F
ATALANTA,F
ATALAYA,F
ATALIE,F
ATHA,F
ATHALIA,F
ATHENA,F
ATHENE,F
ATHLENE,F
ATTIE,F
AUDA,F
AUDIE,F
AUDRA,F
AUDREY,F
AUDRIE,F
AUDRY,F
AUGUSTA,F
AUGUSTINA,F
AURELIA,F
AURIEL,F
AURORA,F
AURORE,F
AUTUMN,F
AVA,F
AVARIL,F
AVEEN,F
AVICE,F
AVIS,F
AVON,F
AVRIL,F
AYANNA,F
AYESHA,F
AYLEEN,F
AYLENE,F
AYLETT,F
AYSHEA,F
AZALEA,F
AZUBA,F
AZUBAH,F
BAB,F
BABE,F
BABETTE,F
BABS,F
BAMBI,F
BARB,F
BARBARA,F
BARBARY,F
BARBIE,F
BARBRA,F
BARBY,F
BARTA,F
BARTHA,F
BASILE,F
BASILIA,F
BASILIE,F
BATHIA,F
BATHILDA,F
BATHSHEBA,F
BAUBIE,F
BEA,F
BEATA,F
BEATRICE,F
BEATRIX,F
BEATRIZ,F
BEATTIE,F
BEATTY,F
BEAULAH,F
BECKY,F
BEDELIA,F
BEE,F
BELA,F
BELINDA,F
BELLA,F
BELLE,F
BELVA,F
BELYNDA,F
BENEDETTA,F
BENEDICTA,F
BENETTA,F
BENITA,F
BENNA,F
BENTE,F
BERDIE,F
BERDINE,F
BERENICE,F
BERIT,F
BERLIN,F
BERMA,F
BERNA,F
BERNADENE,F
BERNADETT,F
BERNADETTE,F
BERNADINA,F
BERNADINE,F
BERNARDETTE,F
BERNARDINE,F
BERNETTA,F
BERNETTE,F
BERNICE,F
BERNIECE,F
BERNISCE,F
BERTA,F
BERTHA,F
BERTIE,F
BERTILDE,F
BERTINA,F
BESS,F
BESSEY,F
BESSIE,F
BESSY,F
BETH,F
BETHAN,F
BETHANNE,F
BETHANY,F
BETHEL,F
BETHIA,F
BETHSHEBA,F
BETINA,F
BETSEY,F
BETSY,F
BETT,F
BETTA,F
BETTE,F
BETTI,F
BETTIE,F
BETTINA,F
BETTINE,F
BETTY,F
BETTYE,F
BEULA,F
BEULAH,F
BEULAL,F
BEVERLY,F
BEVERLYN,F
BIANCA,F
BIDDIE,F
BIDDY,F
BIDELIA,F
BIGE,F
BINA,F
BIRD,F
BIRDIE,F
BIRGIT,F
BIRGITTA,F
BIRTHA,F
BIRTIE,F
BITHIA,F
BITHIAH,F
BITTAN,F
BLANCA,F
BLANCH,F
BLANCHE,F
BLENDA,F
BLISS,F
BLODWEN,F
BLODWYN,F
BLONNIE,F
BLOSSOM,F
BLUEBELL,F
BOADICEA,F
BOBBYE,F
BONITA,F
BONNEI,F
BONNIE,F
BONNY,F
BRANDEE,F
BRANDI,F
BRANDIE,F
BRANDY,F
BRELLA,F
BRENDA,F
BRENNA,F
BRIANA,F
BRIANN,F
BRIANNA,F
BRIANNE,F
BRIDGET,F
BRIDGETTE,F
BRIETTA,F
BRIGETTE,F
BRIGHID,F
BRIGID,F
BRIGIT,F
BRIGITTA,F
BRIGITTE,F
BRIONY,F
BRITA,F
BRITANIA,F
BRITANNIA,F
BRITNEY,F
BRITNI,F
BRITTA,F
BRITTAN,F
BRITTANIA,F
BRITTANNIA,F
BRITTANY,F
BRITTNEY,F
BROADUS,F
BRONNIE,F
BRONWEN,F
BROOKSIE,F
BROOXINE,F
BRUCINE,F
BRUNETTA,F
BRUNHILDA,F
BRYNDA,F
BUELL,F
BULAH,F
BUNA,F
BUNNY,F
BUREN,F
BURNAM,F
BURNICE,F
BURNIE,F
CAITLIN,F
CAITRIONA,F
CALANDRA,F
CALISTA,F
CALLIE,F
CALLISTA,F
CAMELIA,F
CAMELLIA,F
CAMI,F
CAMILE,F
CAMILLA,F
CAMILLE,F
CAMILO,F
CAMMELLA,F
CAMMIE,F
CAMMILLO,F
CAMMY,F
CANDACE,F
CANDI,F
CANDICE,F
CANDIDA,F
CANDIE,F
CANDIS,F
CANDY,F
CANNIE,F
CAPITOLA,F
CARA,F
CARALINE,F
CARALYN,F
CARALYNE,F
CAREN,F
CARI,F
CARILLA,F
CARIN,F
CARINA,F
CARINE,F
CARISA,F
CARISSA,F
CARITA,F
CARLA,F
CARLEEN,F
CARLEN,F
CARLENE,F
CARLESE,F
CARLETTA,F
CARLEY,F
CARLI,F
CARLIE,F
CARLINA,F
CARLINE,F
CARLITA,F
CARLOTTA,F
CARLY,F
CARLYN,F
CARLYNN,F
CARMA,F
CARMEIN,F
CARMEL,F
CARMELA,F
CARMELINA,F
CARMELITA,F
CARMELLA,F
CARMELLE,F
CARMI,F
CARMIE,F
CARMILA,F
CARMILLA,F
CARMINE,F
CARMITA,F
CAROL,F
CAROLA,F
CAROLE,F
CAROLEE,F
CAROLEEN,F
CAROLENIA,F
CAROLETTA,F
CAROLIN,F
CAROLINA,F
CAROLINDA,F
CAROLINE,F
CAROLL,F
CAROLLYN,F
CAROLYN,F
CAROLYNE,F
CAROLYNN,F
CAROLYNNE,F
CARON,F
CARONNE,F
CARRAN,F
CARREN,F
CARRETH,F
CARRI,F
CARRIE,F
CARRIN,F
CARRON,F
CARYL,F
CARYLE,F
CARYLL,F
CARYLLE,F
CARYN,F
CASANDERA,F
CASANDRA,F
CASILDA,F
CASSANDRA,F
CASSIE,F
CASSISTA,F
CATALINA,F
CATARINE,F
CATARINO,F
CATELINE,F
CATERINA,F
CATERNIA,F
CATHALEEN,F
CATHARIN,F
CATHARINA,F
CATHARINE,F
CATHERINA,F
CATHERINE,F
CATHERLEEN,F
CATHERYN,F
CATHEY,F
CATHI,F
CATHIE,F
CATHLEEN,F
CATHRENE,F
CATHRINE,F
CATHRYN,F
CATHY,F
CATRIN,F
CATRINA,F
CATRINE,F
CATRIONA,F
CECELIA,F
CECILA,F
CECILE,F
CECILIA,F
CECILIE,F
CECILY,F
CEILE,F
CEINWEN,F
CELENA,F
CELESTE,F
CELESTIN,F
CELESTINA,F
CELESTINE,F
CELIA,F
CELINA,F
CELINE,F
CELWYN,F
CERIDWEN,F
CERIES,F
CERIS,F
CERISE,F
CERRI,F
CERRIE,F
CERRIS,F
CERYS,F
CEYLON,F
CHANDA,F
CHANDRA,F
CHANEL,F
CHANTAL,F
CHANTEL,F
CHANTELE,F
CHANTELL,F
CHANTELLE,F
CHARIS,F
CHARISSA,F
CHARITY,F
CHARLA,F
CHARLAINE,F
CHARLEEN,F
CHARLENA,F
CHARLENE,F
CHARLESENA,F
CHARLESINA,F
CHARLETTA,F
CHARLINE,F
CHARLINNA,F
CHARLISA,F
CHARLITA,F
CHARLOT,F
CHARLOTTA,F
CHARLOTTE,F
CHARLOTTY,F
CHARLSIE,F
CHARMAIN,F
CHARMAINE,F
CHARMELLE,F
CHARMIAN,F
CHAROLOTTE,F
